OrderID,OrderDate,Region,Category,Sales,Profit,CustomerID
ORD3591,5/2/2022,US,Furniture,7.51,-1.67,CUST730
ORD8491,1/30/2022,EU,Technology,-344.68,48.87,CUST120
ORD8828,12/1/2022,EU,Furniture,281.61,-2.39,CUST120
ORD1565,3/17/2022,Europe,Technology,354.58,-35.74,CUST121
ORD1604,6/23/2022,Europe,Furniture,415.88,23.69,CUST121
ORD2884,7/16/2023,EU,Furniture,45.76,5.32,CUST121
ORD3190,8/4/2023,,Technology,290.08,40.66,CUST121
ORD7101,12/23/2023,US,Office Supplies,7.85,0.79,CUST836
ORD4544,6/26/2023,EU,Technology,485.84,118.59,CUST121
ORD5962,3/12/2022,USA,Office Supplies,7.98,1.95,CUST118
ORD6092,6/28/2023,EU,Furniture,376.93,47.66,CUST121
ORD7739,11/27/2023,US,Office Supplies,8.11,1.36,CUST702
ORD6916,7/26/2022,EU,Furniture,36.94,-10.21,CUST121
ORD7189,12/13/2023,Asia,Furniture,,-67.98,CUST121
ORD7530,7/8/2022,Europe,Office Supplies,453.86,-74.22,CUST121
ORD7597,3/20/2022,asia ,Furniture,308.19,66.65,CUST121
ORD8716,8/2/2022,,Office Supplies,218.37,-14.18,CUST121
ORD5140,7/14/2023,USA,Furniture,8.67,1.13,CUST427
ORD1798,6/26/2023,USA,Furniture,131.96,-1.1,
ORD3597,8/21/2022,Europe,Office Supplies,178.33,-27.91,CUST122
ORD4711,7/7/2023,asia ,Furniture,366.35,54.05,CUST122
ORD6347,5/29/2023,USA,Furniture,9.3,-1.21,CUST820
ORD7940,1/3/2023,Asia,Technology,44.12,-1.91,CUST122
ORD1056,7/19/2023,asia ,Technology,263.53,-7,CUST123
ORD7508,6/22/2022,US,Technology,9.49,1.28,CUST643
ORD3032,1/1/2022,EU,Office Supplies,347.76,-9.91,CUST123
ORD4228,1/17/2023,USA,Technology,9.79,2.31,CUST974
ORD5909,6/16/2023,Europe,Technology,,-44.82,CUST123
ORD5909,6/16/2023,Europe,Technology,,-44.82,CUST123
ORD8364,6/6/2023,Asia,Furniture,296.08,40.06,CUST123
ORD6368,3/15/2023,USA,Furniture,9.91,1.5,CUST876
ORD3973,1/16/2022,Europe,Furniture,,13.53,CUST124
ORD6368,3/15/2023,USA,Furniture,9.91,1.5,CUST876
ORD5506,12/28/2022,Asia,Technology,392.27,-65.51,CUST124
ORD6283,7/10/2023,EU,Office Supplies,327.74,13.56,CUST124
ORD6828,11/6/2022,Europe,Technology,162.12,-10.4,CUST124
ORD6829,5/10/2023,,Furniture,-481.47,-115.31,CUST124
ORD2543,5/5/2023,US,Office Supplies,9.93,2.56,CUST325
ORD7924,3/5/2023,asia ,Office Supplies,162.92,-37.36,CUST124
ORD3435,6/10/2023,USA,Technology,10.05,1.88,CUST619
ORD8871,3/2/2023,Europe,Office Supplies,498.77,-12.58,CUST124
ORD1082,4/7/2023,Asia,Office Supplies,379.37,-27.33,CUST125
ORD1196,8/21/2022,EU,Technology,325.55,85.71,CUST125
ORD5948,9/21/2022,USA,Office Supplies,10.31,-0.64,CUST775
ORD7250,1/14/2022,USA,Furniture,10.39,-1.79,CUST862
ORD4513,1/13/2022,Asia,Technology,245.67,-47.26,CUST125
ORD4988,9/22/2022,asia ,Technology,171.27,1.38,CUST125
ORD3725,2/10/2023,US,Technology,10.99,2.81,CUST266
ORD3725,2/10/2023,US,Technology,10.99,2.81,CUST266
ORD7339,2/5/2023,Europe,Office Supplies,346.68,77.7,CUST125
ORD8607,9/3/2023,EU,Furniture,305.37,26.45,CUST125
ORD8759,9/19/2022,asia ,Technology,222.23,45.43,CUST125
ORD8885,12/15/2022,asia ,Office Supplies,319.53,30.37,CUST125
ORD1225,12/11/2023,EU,Furniture,436.92,-3.11,CUST126
ORD2305,9/2/2023,Asia,Office Supplies,392.31,90.27,CUST126
ORD6485,10/25/2023,US,Office Supplies,11,0.76,CUST538
ORD3307,10/16/2023,asia ,Office Supplies,34.02,-0.17,CUST126
ORD4996,8/24/2023,asia ,Furniture,432,118.61,CUST126
ORD8078,9/3/2022,USA,Office Supplies,12.11,1.21,CUST536
ORD7020,9/17/2022,EU,Office Supplies,325.85,-49.31,CUST126
ORD7186,5/6/2023,Europe,Furniture,159.58,27.9,CUST126
ORD8049,7/24/2022,Europe,Technology,273.92,69.46,CUST126
ORD8150,10/13/2023,asia ,Office Supplies,327.41,-20.77,CUST126
ORD3702,2/26/2022,US,Office Supplies,12.48,-3.52,CUST997
ORD4033,9/12/2023,Europe,Furniture,200.82,46.33,CUST127
ORD6832,4/19/2022,USA,Technology,12.51,-1.28,CUST205
ORD4299,10/29/2023,EU,Furniture,288.14,72.19,CUST127
ORD7256,12/6/2023,Europe,Furniture,446.5,-32.63,CUST127
ORD8072,12/22/2022,USA,Furniture,12.56,0.26,CUST265
ORD5822,10/31/2022,USA,Furniture,12.72,0.95,CUST685
ORD1534,10/4/2022,Asia,Furniture,64.74,-7.7,CUST128
ORD3519,4/28/2023,,Furniture,32.79,-8.66,CUST128
ORD6801,6/13/2022,,Furniture,211.28,32.92,CUST128
ORD8293,10/1/2023,Europe,Technology,377.56,-18.81,CUST128
ORD1583,7/23/2023,USA,Office Supplies,12.89,-3.17,CUST557
ORD8346,6/30/2022,asia ,Office Supplies,186.44,54.82,CUST128
ORD1583,7/23/2023,USA,Office Supplies,12.89,-3.17,CUST557
ORD8862,4/2/2022,EU,Furniture,125.22,14.9,CUST128
ORD2072,9/11/2022,Asia,Technology,116.85,11.67,CUST129
ORD8723,11/19/2023,USA,Technology,13.43,-3.63,CUST908
ORD5249,2/28/2022,US,Office Supplies,13.81,-0.02,CUST435
ORD4067,4/25/2022,EU,Office Supplies,369.8,38.32,CUST129
ORD4067,4/25/2022,EU,Office Supplies,369.8,38.32,CUST129
ORD5591,7/24/2022,asia ,Technology,160.71,-9.8,CUST129
ORD6479,2/27/2023,,Technology,205.13,30.89,CUST129
ORD7023,4/23/2023,asia ,Furniture,65.76,-16.98,CUST129
ORD7215,2/25/2022,Europe,Furniture,183.62,30.35,CUST129
ORD7742,5/8/2022,asia ,Furniture,139.62,34.49,CUST129
ORD7742,5/8/2022,asia ,Furniture,139.62,34.49,CUST129
ORD1495,4/20/2023,EU,Furniture,249.69,-34.65,CUST130
ORD2585,2/9/2022,EU,Furniture,367.11,50.36,CUST130
ORD5020,9/20/2023,asia ,Office Supplies,417.43,71.14,CUST130
ORD4389,6/4/2022,US,Technology,14.2,-1.09,CUST845
ORD5703,12/22/2023,Europe,Furniture,382.54,-90.99,CUST130
ORD6322,10/23/2023,Asia,Furniture,458.09,2.84,CUST130
ORD1862,1/8/2022,EU,Office Supplies,230.59,3.95,CUST131
ORD3903,6/16/2023,Europe,Furniture,272.94,73.22,CUST131
ORD2381,1/25/2022,USA,Office Supplies,14.27,0.31,CUST112
ORD6155,7/20/2022,Asia,Office Supplies,250.71,40.37,CUST131
ORD7131,9/23/2023,EU,Furniture,16.71,3.88,CUST131
ORD5645,3/11/2023,USA,Office Supplies,14.42,1.9,CUST312
ORD2309,5/8/2022,asia ,Office Supplies,420.01,-55.53,CUST132
ORD2717,10/21/2023,,Office Supplies,174.33,-50.76,CUST132
ORD3221,10/7/2022,asia ,Furniture,275.16,-78.05,CUST132
ORD6282,11/24/2023,USA,Technology,14.51,4.28,CUST496
ORD4430,4/19/2022,Europe,Furniture,107.8,-24.83,CUST132
ORD5786,11/21/2023,USA,Furniture,14.67,-1.27,CUST721
ORD6778,6/5/2022,EU,Technology,427.99,-57.75,CUST132
ORD8321,11/2/2023,US,Office Supplies,14.87,1.48,CUST298
ORD8602,12/24/2023,EU,Furniture,,10.15,CUST132
ORD1831,2/20/2022,,Furniture,114.51,-13.23,CUST133
ORD7356,6/15/2023,USA,Office Supplies,14.9,-2.52,CUST454
ORD3859,11/23/2022,Europe,Technology,,20.86,CUST133
ORD4823,5/4/2023,asia ,Furniture,252.16,27.4,CUST133
ORD4844,10/5/2022,Europe,Office Supplies,158.61,47.3,CUST133
ORD4916,2/19/2022,Asia,Office Supplies,145.65,27.66,CUST133
ORD4939,9/17/2022,asia ,Technology,270.08,-55.28,CUST133
ORD4687,4/16/2023,USA,Office Supplies,14.98,3.64,CUST375
ORD5850,3/15/2022,US,Furniture,15.16,1.28,CUST947
ORD7135,10/24/2023,US,Office Supplies,15.37,2.97,CUST422
ORD7670,12/8/2022,Europe,Furniture,155.47,30.71,CUST133
ORD1617,5/11/2023,EU,Furniture,184.69,54.98,CUST134
ORD8632,4/13/2022,US,Office Supplies,15.39,-0.91,CUST669
ORD2186,12/26/2022,USA,Furniture,15.82,2.89,CUST368
ORD3518,2/12/2023,EU,Furniture,131.89,-1.63,CUST134
ORD8353,11/3/2022,USA,Technology,15.85,-1.65,CUST574
ORD5536,9/16/2023,EU,Office Supplies,154.79,15.15,CUST134
ORD6836,2/12/2022,Asia,Office Supplies,45.35,8.6,CUST134
ORD3911,3/20/2022,US,Technology,16,-0.89,CUST129
ORD3581,5/3/2023,USA,Office Supplies,16.42,-1.09,CUST932
ORD4483,10/31/2022,USA,Technology,17.09,-0.67,CUST101
ORD1120,2/17/2022,Asia,Technology,450.64,-67.51,CUST135
ORD1989,1/10/2022,EU,Furniture,64.92,-9.45,CUST135
ORD6181,11/17/2022,US,Office Supplies,17.29,-4.93,CUST622
ORD3455,8/1/2022,US,Office Supplies,17.63,-0.01,CUST649
ORD6610,3/17/2022,Europe,Office Supplies,,11.63,CUST135
ORD6849,11/22/2022,asia ,Furniture,322,81.85,CUST135
ORD7522,11/27/2022,Asia,Furniture,85.95,20.87,CUST135
ORD8476,10/24/2022,EU,Furniture,344.96,-71.57,CUST135
ORD8954,10/18/2023,asia ,Office Supplies,120.33,33.14,CUST135
ORD2139,1/6/2023,Europe,Furniture,495.01,-44.87,CUST136
ORD2242,3/19/2022,Asia,Technology,200.15,12.71,CUST136
ORD3460,6/13/2022,EU,Office Supplies,379.88,-92.97,CUST136
ORD4365,3/3/2023,asia ,Furniture,269.77,-71.53,CUST136
ORD4034,10/13/2023,USA,Technology,18.02,-1.74,CUST891
ORD6894,11/16/2023,Europe,Furniture,372.17,-86.07,CUST136
ORD8107,6/3/2022,Europe,Office Supplies,203.8,-9.45,CUST136
ORD8260,9/16/2022,EU,Technology,227.66,-43.88,CUST136
ORD8425,1/2/2023,asia ,Office Supplies,348.74,-51.7,CUST136
ORD2138,7/21/2023,USA,Office Supplies,18.04,-4.81,CUST185
ORD1739,2/9/2023,Asia,Technology,332.39,-79.08,CUST137
ORD7446,7/18/2022,US,Furniture,18.65,1.83,CUST763
ORD4780,11/18/2023,Asia,Furniture,299.33,41.29,CUST137
ORD2287,12/22/2023,US,Furniture,18.72,-2.64,CUST500
ORD5920,8/10/2023,US,Furniture,18.95,-5.01,CUST409
ORD8731,8/23/2023,EU,Office Supplies,192.1,-45.01,CUST137
ORD8882,12/17/2022,asia ,Furniture,,-26.37,CUST137
ORD5336,5/23/2023,USA,Office Supplies,19.4,-4.65,CUST664
ORD7562,7/7/2023,USA,Technology,19.92,-5.98,CUST623
ORD3515,1/20/2023,asia ,Technology,130.41,29.27,CUST138
ORD3822,3/17/2023,Europe,Technology,194.94,55.77,CUST138
ORD2759,4/27/2022,US,Furniture,20.22,-3.05,CUST745
ORD8191,12/13/2023,US,Office Supplies,20.24,1.53,CUST615
ORD6630,10/12/2022,asia ,Furniture,223.77,-30.15,CUST138
ORD6841,3/24/2022,Europe,Technology,420.77,-94.82,CUST138
ORD7203,1/25/2022,EU,Furniture,435.54,-15.66,CUST138
ORD7203,1/25/2022,EU,Furniture,435.54,-15.66,CUST138
ORD6507,10/13/2023,US,Furniture,20.66,4.98,CUST995
ORD7680,11/23/2022,Europe,Furniture,205.37,-37.56,CUST138
ORD8212,7/30/2023,EU,Office Supplies,465.43,127.82,CUST138
ORD1796,4/26/2023,Asia,Furniture,391.27,60.05,CUST139
ORD2394,2/13/2022,asia ,Furniture,63.86,-8.14,CUST139
ORD2650,4/12/2023,Europe,Office Supplies,440.12,-86.83,CUST139
ORD3977,6/17/2023,USA,Technology,20.96,1.18,CUST441
ORD3690,9/15/2023,Asia,Technology,5.3,1.2,CUST139
ORD3711,12/29/2023,Asia,Office Supplies,196.35,42.96,CUST139
ORD2331,4/21/2023,USA,Furniture,21.29,4.26,CUST936
ORD2700,2/8/2022,USA,Furniture,21.29,-5.54,CUST936
ORD2700,2/8/2022,USA,Furniture,21.29,-5.54,CUST936
ORD5628,12/2/2022,EU,Technology,361.26,-48.96,CUST139
ORD5736,8/29/2023,,Technology,410.03,-55.01,CUST139
ORD6212,4/14/2022,Asia,Technology,69.43,-14.77,CUST139
ORD8098,8/4/2023,asia ,Technology,493.91,30.35,CUST139
ORD1432,10/19/2023,EU,Office Supplies,190.24,-23.8,CUST140
ORD3874,9/2/2023,Europe,Office Supplies,65.57,-9.17,CUST140
ORD3914,8/27/2023,asia ,Office Supplies,26.52,0.05,CUST140
ORD4876,6/8/2022,Europe,Furniture,,-29.53,CUST140
ORD5347,7/14/2023,,Furniture,485.79,72.8,CUST140
